Serial,Gas_Concentration(ppm),Temperature(°C),Pressure(psi),Thermal_Gradient(°C/m),Acoustic_Amplitude(dB),Acoustic_Frequency(Hz),Flow_Rate(L/min),Segment,Leak_Type,Leak_Status
1,0.84,25.05,100.1,0.05,9.75,58.32,60.75,1,Non-Leak,0
2,196.45,22.58,83.0,0.79,31.81,331.31,55.92,2,Small,1
3,0.43,25.08,100.06,0.07,10.7,51.35,60.91,3,Non-Leak,0
4,674.42,20.83,77.61,1.67,51.18,635.65,52.07,4,Medium,1
5,0.32,25.7,100.29,0.03,9.76,53.69,60.93,5,Non-Leak,0
6,1092.96,19.5,59.4,2.48,75.84,822.22,44.69,6,Large,1
7,0.84,24.99,100.79,0.06,10.81,51.46,60.9,7,Non-Leak,0
8,173.72,22.7,84.92,0.81,34.35,319.97,54.94,8,Small,1
9,0.33,25.02,100.77,0.07,9.38,55.57,61.08,9,Non-Leak,0
10,674.48,21.43,77.78,1.6,50.66,618.65,52.99,10,Medium,1
11,0.68,25.07,100.7,0.05,10.27,59.64,60.82,11,Non-Leak,0
12,1013.83,18.1,59.38,2.62,75.95,838.47,44.26,12,Large,1
13,0.89,24.86,100.71,0.06,10.23,53.54,60.82,1,Non-Leak,0
14,171.17,22.87,84.14,0.8,31.53,330.28,54.32,2,Small,1
15,0.64,24.81,100.92,0.07,10.46,55.64,61.0,3,Non-Leak,0
16,700.72,21.54,76.15,1.8,51.59,629.44,53.15,4,Medium,1
17,0.42,25.82,100.56,0.05,10.72,53.17,60.88,5,Non-Leak,0
18,1045.95,18.47,61.88,2.45,74.48,819.73,45.28,6,Large,1
19,0.55,24.77,100.53,0.04,9.81,57.66,60.97,7,Non-Leak,0
20,187.79,22.63,84.13,0.74,34.44,338.19,55.52,8,Small,1
21,0.45,24.98,100.51,0.05,10.73,54.6,60.75,9,Non-Leak,0
22,650.55,20.66,76.32,1.61,50.41,620.83,52.84,10,Medium,1
23,0.81,25.06,100.35,0.04,10.73,53.8,60.71,11,Non-Leak,0
24,1034.55,19.81,60.91,2.33,72.69,848.69,45.78,12,Large,1
25,0.3,24.97,100.6,0.03,10.37,52.39,60.99,1,Non-Leak,0
26,190.75,22.26,84.22,0.85,33.9,319.1,54.54,2,Small,1
27,0.31,25.38,100.4,0.05,10.85,55.53,61.09,3,Non-Leak,0
28,695.17,20.61,77.0,1.63,51.04,616.09,52.31,4,Medium,1
29,0.47,25.35,100.54,0.07,10.67,57.55,60.85,5,Non-Leak,0
30,1061.44,19.2,60.99,2.8,75.46,784.43,45.34,6,Large,1
31,0.41,25.43,100.44,0.04,9.14,56.1,61.1,7,Non-Leak,0
